ESTADO;CIDADE;NR_CANDIDATO;CARGO;NM_CANDIDATO;NM_URNA_CANDIDATO;SG_PARTIDO;GENERO;GRAU_INSTRUCAO;COR_RACA
PE;SALGUEIRO;10001;VEREADOR;JOSÉ CARLOS DE CARVALHO PARENTE;ZÉ CARLOS;REPUBLICANOS;MASCULINO;ENSINO MÉDIO COMPLETO;PARDA
MG;LUISBURGO;70321;VEREADOR;ROSILENE ALBERGARIA DA SILVA;ROSA DA ESCOLA;AVANTE;FEMININO;ENSINO MÉDIO COMPLETO;PARDA
MA;TIMON;15456;VEREADOR;JOSÉ NILTON ARAÚJO DE SOUSA;JOSÉ NILTON;MDB;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;PARDA
MG;ALÉM PARAÍBA;25234;VEREADOR;GERALDO ELIO PEREIRA;ELINHO;PRD;MASCULINO;SUPERIOR COMPLETO;PARDA
MA;BARRA DO CORDA;15678;VEREADOR;PAULO COSTA SILVA;PAULINHO SILVA;MDB;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;PARDA
MG;MARTINHO CAMPOS;22500;VEREADOR;RENATA FABIANY DE MEDEIROS;RENATINHA;PL;FEMININO;SUPERIOR COMPLETO;BRANCA
BA;SALVADOR;12342;VEREADOR;CLAUDIO EMANOEL PINHEIRO AMORIM;CLAUDIO AMORIM;PDT;MASCULINO;SUPERIOR INCOMPLETO;PARDA
AL;MURICI;11999;VEREADOR;MARIA EDJANE BELO DA SILVA;EDJANE;PP;FEMININO;ENSINO MÉDIO COMPLETO;INDÍGENA
RS;BOSSOROCA;45467;VEREADOR;ELIS REGINA CASTRO SANABRE;REGINA SANABRE;PSDB;FEMININO;ENSINO FUNDAMENTAL COMPLETO;BRANCA
BA;JEREMOABO;10333;VEREADOR;JOSE NILSON GONCALVES DE JESUS;TULIO DO COENTRO;REPUBLICANOS;MASCULINO;ENSINO MÉDIO INCOMPLETO;PRETA
AP;MACAPÁ;43123;VEREADOR;ELUARD RANGEL SOUZA DOS SANTOS;ELUARD RANGEL;PV;MASCULINO;SUPERIOR COMPLETO;BRANCA
SP;CASTILHO;10333;VEREADOR;FLÁVIA FERNANDES DO NASCIMENTO SANTOS;FLAVIA FERNANDES;REPUBLICANOS;FEMININO;ENSINO MÉDIO COMPLETO;PARDA
SP;PEDREGULHO;22580;VEREADOR;CARLOS ALBERTO BERNARDES;CB CARLOS BERNARDES;PL;MASCULINO;SUPERIOR COMPLETO;BRANCA
MA;COROATÁ;22777;VEREADOR;FRANCISCO DE ASSIS MOTA OLIVEIRA;AMARELINHO;PL;MASCULINO;ENSINO MÉDIO COMPLETO;AMARELA
PI;CORRENTE;11611;VEREADOR;ANA CRISTINA NOGUEIRA DE OLIVEIRA;ANA CRISTINA;PP;FEMININO;SUPERIOR COMPLETO;PARDA
PR;LONDRINA;10147;VEREADOR;ALEXANDRE FERREIRA DA SILVA;TIKINHO;REPUBLICANOS;MASCULINO;SUPERIOR COMPLETO;PRETA
MG;UBERLÂNDIA;10777;VEREADOR;GISELE OKUHARA CAMPOS;GISELE OKUHARA;REPUBLICANOS;FEMININO;SUPERIOR COMPLETO;BRANCA
BA;PIRIPÁ;55000;VEREADOR;EDILENE SILVA SANTOS PINHEIRO;DILLA DO ESPORTE;PSD;FEMININO;ENSINO FUNDAMENTAL COMPLETO;PARDA
RR;SÃO JOÃO DA BALIZA;20777;VEREADOR;CLAUDIR JOSÉ KRUTLI;CLAUDIR KRUTLI;PODE;MASCULINO;ENSINO MÉDIO COMPLETO;BRANCA
PE;FLORESTA;15222;VEREADOR;HENRIQUE GOMINHO FERRAZ;CORONEL HENRIQUE;MDB;MASCULINO;SUPERIOR COMPLETO;BRANCA
RS;ALVORADA;27246;VEREADOR;JOSÉ DAMIÃO DOS SANTOS;ZÉ DA ARCA;DC;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;PARDA
PR;GOIOERÊ;55055;VEREADOR;JARDERSON SENA SALES;JADERSON SENA;PSD;MASCULINO;ENSINO MÉDIO INCOMPLETO;PARDA
PE;VICÊNCIA;11200;VEREADOR;JOSÉ AUGUSTO DA SILVA;AUGUSTO DA RÁDIO;PP;MASCULINO;ENSINO MÉDIO COMPLETO;PARDA
MA;PEDRO DO ROSÁRIO;11111;VEREADOR;IOLETE TEIXEIRA SERRA;IOLETE SERRA;PP;FEMININO;ENSINO MÉDIO COMPLETO;PARDA
PR;MATINHOS;22000;VEREADOR;EVERSON GONCALVES;MAKA;PL;MASCULINO;ENSINO MÉDIO COMPLETO;PARDA
MG;IPATINGA;18888;VEREADOR;ELAINE CRISTINA BICALHO MAIA;PROFESSORA ELAINE  BICALHO;REDE;FEMININO;SUPERIOR COMPLETO;BRANCA
PI;TERESINA;55555;VEREADOR;VINICIO RONDINELLE FERREIRA MAGALHÃES;VINICIO FERREIRA;PSD;MASCULINO;SUPERIOR COMPLETO;PARDA
SP;MOGI MIRIM;10444;VEREADOR;RODOLFO RODRIGUES DA CONCEIÇÃO;RODOLFO RODRIGUES;REPUBLICANOS;MASCULINO;ENSINO MÉDIO COMPLETO;PRETA
PE;SANHARÓ;40222;VEREADOR;JOSÉ NILSON NUNES ALMEIDA;ZÉ NILSON;PSB;MASCULINO;ENSINO MÉDIO COMPLETO;PARDA
BA;IBITIARA;77000;VEREADOR;MARIA ROSA DE OLIVEIRA SILVA;BIA DE TOSTÃO;SOLIDARIEDADE;FEMININO;ENSINO FUNDAMENTAL COMPLETO;PARDA
MG;FRONTEIRA DOS VALES;70;PREFEITO;NEUDSON CANGUSSU ARAUJO;NEUDSON CANGUSSU;AVANTE;MASCULINO;SUPERIOR COMPLETO;PARDA
SP;ITIRAPINA;25125;VEREADOR;UZELITA DE ALMEIDA JORGE;MISSIONÁRIA UZELITA;PRD;FEMININO;ENSINO FUNDAMENTAL COMPLETO;BRANCA
BA;AURELINO LEAL;50111;VEREADOR;MARIA ALDA RIBEIRO DOS SANTOS;ALDA DO ACM;PSOL;FEMININO;ENSINO MÉDIO COMPLETO;PRETA
RS;GENERAL CÂMARA;11911;VEREADOR;LUISA SCHWUCHOW DE SOUSA;LUISA SCHWUCHOW;PP;FEMININO;ENSINO MÉDIO COMPLETO;BRANCA
BA;VERA CRUZ;27000;VEREADOR;DIJALMA VIEIRA DOS SANTOS;MORENINHO;DC;FEMININO;ENSINO MÉDIO INCOMPLETO;PARDA
PI;CASTELO DO PIAUÍ;12321;VEREADOR;CLAUDENÍSIO ALVES SOBRINHO;ANÍSIO PATO;PDT;MASCULINO;ENSINO MÉDIO COMPLETO;BRANCA
BA;COCOS;55888;VEREADOR;ERICK BUNGE PEREIRA;ERICK BUNGE;PSD;MASCULINO;SUPERIOR COMPLETO;PARDA
RS;CANDELÁRIA;40100;VEREADOR;GILVAN DA SILVA MOURA;GILVAN MOURA;PSB;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;BRANCA
SP;NOVA GRANADA;15608;VEREADOR;JOSE ANTONIO PEREIRA;ZÉ PEREIRA;MDB;MASCULINO;ENSINO MÉDIO COMPLETO;BRANCA
SP;UBARANA;44444;VEREADOR;MICHELE FERNANDA BASTOS;MICHELE BASTOS;UNIÃO;FEMININO;ENSINO MÉDIO COMPLETO;BRANCA
SP;DUMONT;10211;VEREADOR;ANA MARIA BARASINO;ANA BARASINO;REPUBLICANOS;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;BRANCA
BA;ALAGOINHAS;55565;VEREADOR;GILMARA CARDOSO DOS SANTOS;GIL CARDOSO;PSD;FEMININO;ENSINO MÉDIO COMPLETO;PARDA
SP;SÃO MANUEL;35282;VEREADOR;SOLANGE MARIA DA SILVA;SOLANGE TIA SOL;PMB;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;PRETA
SP;SUMARÉ;55777;VEREADOR;ANDERSON GOMES GABRIEL;DR ANDERSON;PSD;MASCULINO;SUPERIOR COMPLETO;BRANCA
SP;COROADOS;15;PREFEITO;ROBERTO CARVALHO PINTO;ROBERTINHO DA CAXIMBA;MDB;MASCULINO;SUPERIOR COMPLETO;BRANCA
RS;IBIRUBÁ;22100;VEREADOR;LENIR MORAES DO COUTO PREDIGER;LENIR MORAES DO COUTO PREDIGER;PL;FEMININO;ENSINO MÉDIO COMPLETO;BRANCA
SP;MARTINÓPOLIS;45777;VEREADOR;MARISA SANTOS DA MOTA;MARISA OVOS;PSDB;FEMININO;ENSINO MÉDIO INCOMPLETO;BRANCA
SC;SANTA TEREZINHA DO PROGRESSO;15123;VEREADOR;CASSEMIRO DA COSTA;CASSEMIRO DA COSTA;MDB;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;PARDA
PE;LIMOEIRO;40000;VEREADOR;JACIEL DE MOURA PEREIRA;JACIEL DE JAIRO;PSB;MASCULINO;ENSINO MÉDIO COMPLETO;PARDA
SP;TUPI PAULISTA;45123;VEREADOR;JOSUE MATIAS;MATIAS DA RÁDIO;PSDB;MASCULINO;SUPERIOR INCOMPLETO;BRANCA
SP;AMPARO;20000;VEREADOR;JANDETE ROBERTO DOS SANTOS;JANDETE;PODE;FEMININO;LÊ E ESCREVE;PARDA
RN;IELMO MARINHO;15555;VEREADOR;MARIA DO SOCORRO SOARES;PROF SOCORRO SOARES;MDB;FEMININO;SUPERIOR COMPLETO;PARDA
RJ;SAPUCAIA;44222;VEREADOR;IZAETH RAMOS DOS SANTOS;IZAETH;UNIÃO;FEMININO;SUPERIOR COMPLETO;BRANCA
BA;FEIRA DE SANTANA;77666;VEREADOR;ADELSON MORAES DE MATOS;ADELSON DO ESCOVAL;SOLIDARIEDADE;MASCULINO;ENSINO MÉDIO COMPLETO;PRETA
BA;JAGUAQUARA;10789;VEREADOR;JOSÉ CARLOS SOARES CORTES;ZÉ DE LITA;REPUBLICANOS;MASCULINO;ENSINO MÉDIO COMPLETO;PARDA
RS;SÉRIO;20024;VEREADOR;ANDERSON PRIMAZ;ANDERSON PRIMAZ;PODE;MASCULINO;SUPERIOR INCOMPLETO;BRANCA
RN;PEDRA PRETA;15123;VEREADOR;ABRAÃO FELIPE DOS SANTOS;ABRAÃO;MDB;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;PARDA
SC;OTACÍLIO COSTA;12777;VEREADOR;VALDECIR DE LIZ;VALDECIR DE LIZ - BOCA;PDT;MASCULINO;SUPERIOR COMPLETO;PARDA
MG;CARMÓPOLIS DE MINAS;44888;VEREADOR;LUCAS JOSÉ DOS SANTOS;LUCAS;UNIÃO;MASCULINO;SUPERIOR COMPLETO;PARDA
SE;TOBIAS BARRETO;11139;VEREADOR;ANDRÉ BATISTA DE FARIA;ANDRÉ DA ENFERMAGEM;PP;MASCULINO;ENSINO MÉDIO COMPLETO;PARDA
RS;PORTO ALEGRE;44279;VEREADOR;CRISTIANE DE CASTILHOS SCHAMES;NANI SCHAMES;UNIÃO;FEMININO;ENSINO FUNDAMENTAL COMPLETO;BRANCA
SP;RANCHARIA;45123;VEREADOR;ALEXANDRE ESTEVÃO SILVA DE ANDRADE;PROFESSOR XANDÃO;PSDB;MASCULINO;SUPERIOR COMPLETO;BRANCA
SP;NOVA ALIANÇA;55789;VEREADOR;IVANIR APARECIDA CHARPELETTI ZANONI;VANI ZANONI;PSD;FEMININO;ENSINO MÉDIO COMPLETO;BRANCA
PR;MUNHOZ DE MELO;55444;VEREADOR;SILVINA CREUSA RODRIGUES DA SILVA;IRMÃ CREUSA;PSD;FEMININO;ENSINO MÉDIO COMPLETO;PRETA
SP;SÃO CARLOS;11444;VEREADOR;TIAGO ORLANDI PARELLI;TIAGO PARELLI;PP;MASCULINO;ENSINO MÉDIO COMPLETO;BRANCA
SP;SÃO JOSÉ DO BARREIRO;13013;VEREADOR;JOSÉ ANTONIO FERREIRA;PANELA;PT;MASCULINO;ENSINO MÉDIO COMPLETO;BRANCA
SP;SANTA BRANCA;44333;VEREADOR;AGNALDO JOSE DE MOURA;AGNALDO TIBA;UNIÃO;MASCULINO;ENSINO MÉDIO INCOMPLETO;PRETA
PB;SALGADO DE SÃO FÉLIX;11357;VEREADOR;LUZIA DA SILVA NASCIMENTO;LUZIA DO COVÃO;PP;FEMININO;ENSINO MÉDIO COMPLETO;PARDA
MA;AÇAILÂNDIA;36120;VEREADOR;OZAIAS FEITOSA FARIAS;GRILO;AGIR;MASCULINO;ENSINO MÉDIO COMPLETO;PARDA
PE;JABOATÃO DOS GUARARAPES;11999;VEREADOR;MIGUEL ANTONIO DA SILVA;MIGUEL DE SOCORRO;PP;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;PRETA
MT;BARRA DO GARÇAS;22999;VEREADOR;HIAGO TELES ALVES;HIAGO TELES;PL;MASCULINO;ENSINO MÉDIO COMPLETO;BRANCA
TO;ARRAIAS;10999;VEREADOR;JOIL ALVES DE ALMEIDA;JOIL;REPUBLICANOS;MASCULINO;ENSINO MÉDIO COMPLETO;PRETA
MG;ÁGUAS FORMOSAS;25444;VEREADOR;NATAL ALVES PEREIRA;NATAL ALVES PULO DO GATO;PRD;MASCULINO;ENSINO MÉDIO INCOMPLETO;PARDA
PR;ASTORGA;55234;VEREADOR;ALEX APARECIDO DE MOURA;ALEX DO BAR;PSD;MASCULINO;ENSINO MÉDIO COMPLETO;BRANCA
SP;POÁ;20120;VEREADOR;LARISSA APARECIDA MAESTRELLO MAIA;LARISSA MAIA;PODE;FEMININO;ENSINO MÉDIO COMPLETO;BRANCA
PR;SÃO JOSÉ DOS PINHAIS;13219;VEREADOR;ARIELA DOS SANTOS GOMES;ARIELA GOMES;PT;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;INDÍGENA
PE;CARNAÍBA;44111;VEREADOR;DALVACI FELIX DA SILVA;DALVA DA LAGOA DO CAROÁ;UNIÃO;FEMININO;ENSINO MÉDIO COMPLETO;BRANCA
SP;COSMÓPOLIS;15777;VEREADOR;EDUARDO PEREIRA SILVA;EDUARDO PEREIRA;MDB;MASCULINO;SUPERIOR COMPLETO;PARDA
SP;PIRASSUNUNGA;25123;VEREADOR;ADRIANO PEREZ CASAGRANDE;ADRIANO CASAGRANDE;PRD;MASCULINO;ENSINO MÉDIO COMPLETO;BRANCA
MS;LADÁRIO;44444;VEREADOR;ALEXANDRE ORICHUELA;ALEXANDRE ORICHUELA;UNIÃO;MASCULINO;SUPERIOR COMPLETO;PARDA
RJ;JAPERI;35567;VEREADOR;RUBEM IRIA DAMASCENO MACHADO;TIO RUBEM;PMB;MASCULINO;ENSINO MÉDIO INCOMPLETO;PRETA
AL;UNIÃO DOS PALMARES;13333;VEREADOR;EVERALDO FERREIRA DOS SANTOS;LELÉU;PT;MASCULINO;ENSINO MÉDIO COMPLETO;PARDA
RS;BENTO GONÇALVES;20222;VEREADOR;LUCIANO TREMARIN BANDEIRA;LUCIANO BANDEIRA;PODE;MASCULINO;SUPERIOR COMPLETO;BRANCA
PI;BAIXA GRANDE DO RIBEIRO;15123;VEREADOR;COSME EURICO GOMES DA SILVA;CUMPADE COSMO;MDB;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;PARDA
PB;LAGOA DE DENTRO;77999;VEREADOR;SAMUEL BELARMINO DA SILVA;SAMUEL DE PIABAS;SOLIDARIEDADE;MASCULINO;ENSINO MÉDIO COMPLETO;PARDA
SE;ARAUÁ;10456;VEREADOR;JOSÉ GILVAN DO ROSARIO FONSECA;GILVAN DO PROGRESSO;REPUBLICANOS;MASCULINO;ENSINO MÉDIO INCOMPLETO;PARDA
PR;CONTENDA;28789;VEREADOR;ANTONIA AFONSO FERNANDES LATIF;ANTONIA FERNANDES;PRTB;FEMININO;LÊ E ESCREVE;PRETA
BA;HELIÓPOLIS;55777;VEREADOR;ROMILDA SANTANA SILVA;ROMILDA SANTANA;PSD;FEMININO;SUPERIOR INCOMPLETO;PARDA
MG;ANDRADAS;25678;VEREADOR;HENRIQUE CESAR NORONHA DE MELO;HENRIQUE BÉ;PRD;MASCULINO;SUPERIOR INCOMPLETO;BRANCA
AM;SANTO ANTÔNIO DO IÇÁ;10555;VEREADOR;ANTUNES RIBEIRO AUANARIO;ANTUNES RIBEIRO;REPUBLICANOS;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;PARDA
AP;SERRA DO NAVIO;11369;VEREADOR;GLEICIANE DE SOUSA ALMEIDA;GLEICE;PP;FEMININO;ENSINO MÉDIO COMPLETO;BRANCA
GO;MONTES CLAROS DE GOIÁS;25222;VEREADOR;EMERSON MORAES DE OLIVEIRA;EMERSON MORAES;PRD;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;BRANCA
SE;GRACCHO CARDOSO;44123;VEREADOR;JOSÉ CARLOS VIEIRA DOS SANTOS;PRETO DA GALINHA;UNIÃO;MASCULINO;ENSINO MÉDIO COMPLETO;BRANCA
MG;REDUTO;44111;VEREADOR;JOÃO PAULO RODRIGUES;JOÃO PAULO RODRIGUES;UNIÃO;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;PARDA
MG;CORONEL PACHECO;20040;VEREADOR;LIDIANE FERNANDA MOREIRA;LIDIANE MOREIRA;PODE;FEMININO;ENSINO MÉDIO COMPLETO;PRETA
PE;MORENO;65555;VEREADOR;TAYNARA PEREIRA DA SILVA;DRA TAYNARA;PC do B;FEMININO;SUPERIOR COMPLETO;PARDA
TO;PALMAS;25000;VEREADOR;BRUNO SOUSA AZEVEDO;DELEGADO BRUNO AZEVEDO;PRD;MASCULINO;SUPERIOR COMPLETO;PARDA
MA;AXIXÁ;12174;VEREADOR;JOSÉ REINALDO MOTA PEREIRA;ZÉ REINALDO;PDT;MASCULINO;ENSINO MÉDIO COMPLETO;PARDA
ES;SANTA TERESA;11114;VEREADOR;ALINE BARBOSA DE FARIA SOUZA;ALINE DA EMPÓRIO;PP;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;BRANCA
SP;MACAUBAL;55333;VEREADOR;DOUGLAS HENRIQUE PRUDENCIO;DOUGLAS DA SAÚDE;PSD;MASCULINO;SUPERIOR COMPLETO;BRANCA
CE;CAMPOS SALES;40;VICE-PREFEITO;JOSE SOLANO FEITOSA;SOLANO FEITOSA;PSB;MASCULINO;SUPERIOR COMPLETO;PARDA
MG;ARINOS;15222;VEREADOR;ANTONIA PEREIRA DE SOUZA DAMACENO;ANTONIA DAMACENO;MDB;FEMININO;SUPERIOR COMPLETO;PRETA
PE;TEREZINHA;55999;VEREADOR;JOSÉ ERIVALDO CARVALHO DOS SANTOS;PAPALÉGUA;PSD;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;PARDA
SP;SANTA BÁRBARA D'OESTE;10258;VEREADOR;ELIDÁRIA ALVES DE SOUZA;DÁRIA SOUZA;REPUBLICANOS;FEMININO;ENSINO MÉDIO COMPLETO;BRANCA
PI;MADEIRO;55111;VEREADOR;GILSON CARLOS COSTA SOUSA;GILSON;PSD;MASCULINO;ENSINO MÉDIO COMPLETO;PRETA
PR;FOZ DO IGUAÇU;43043;VEREADOR;YASMIN VICTORIA SOUZA HACHEM;YASMIN HACHEM;PV;FEMININO;SUPERIOR COMPLETO;BRANCA
MG;ABADIA DOS DOURADOS;70777;VEREADOR;CLEONICE TOMAZ DE OLIVEIRA RODOVALHO;CLEONICE TOMAZ;AVANTE;FEMININO;SUPERIOR COMPLETO;BRANCA
PE;SÃO LOURENÇO DA MATA;15111;VEREADOR;GILTON DUARTE GOMES;GILTON DUARTE;MDB;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;PRETA
PR;CAMPO LARGO;45555;VEREADOR;JORGE LUIZ LOPES;JORGE LUIZ;PSDB;MASCULINO;ENSINO MÉDIO COMPLETO;BRANCA
TO;ARAGUANÃ;11222;VEREADOR;JUSSY JÚNIOR PINTO DA SILVA;JUNIOR BREGA;PP;MASCULINO;SUPERIOR COMPLETO;PARDA
SP;TEODORO SAMPAIO;10600;VEREADOR;PAULO SERGIO DE OLIVEIRA;PAULINHO DO PAO;REPUBLICANOS;MASCULINO;ENSINO MÉDIO COMPLETO;PRETA
MG;TAIOBEIRAS;44444;VEREADOR;LUCAS RIBEIRO DA SILVA;LUCAS RIBEIRO LOCUTOR;UNIÃO;MASCULINO;ENSINO MÉDIO COMPLETO;PARDA
