ESTADO;CIDADE;NR_CANDIDATO;CARGO;NM_CANDIDATO;NM_URNA_CANDIDATO;SG_PARTIDO;GENERO;GRAU_INSTRUCAO;COR_RACA
BA;RIACHÃO DAS NEVES;43333;VEREADOR;CLAUDIO BARBOSA DO NASCIMENTO;PROFESSOR CLAUDIO BARBOSA;PV;MASCULINO;SUPERIOR COMPLETO;PARDA
RS;ENTRE-IJUÍS;15678;VEREADOR;LUCIANA APARECIDA GONÇALVES DE SOUZA;LU DA VACINA;MDB;FEMININO;ENSINO MÉDIO COMPLETO;BRANCA
PA;BELÉM;28090;VEREADOR;CARLOS EDUARDO DA SILVA PEREIRA;CARLOS PEREIRA;PRTB;MASCULINO;SUPERIOR COMPLETO;PARDA
RJ;SÃO JOÃO DA BARRA;44140;VEREADOR;MÁGUILA LESLA SOUZA DA SILVA MORAES;MÁGUILA DO ACORDA AÇÚ;UNIÃO;FEMININO;ENSINO MÉDIO COMPLETO;BRANCA
RS;PASSA SETE;22688;VEREADOR;MARIVANE RODRIGUES DA SILVA;MARY RODRIGUES;PL;FEMININO;SUPERIOR COMPLETO;PARDA
MG;MORRO DA GARÇA;15230;VEREADOR;MARCOS VINICIUS DE OLIVEIRA SANTOS;MARQUINHO DE BRANCO;MDB;MASCULINO;ENSINO MÉDIO INCOMPLETO;PARDA
SP;CARAPICUÍBA;50565;VEREADOR;RAPHAEL RAMIRO CORDEIRO RAMOS DA SILVA;RAPHAEL DA ADEGA;PSOL;MASCULINO;SUPERIOR COMPLETO;BRANCA
MG;PRUDENTE DE MORAIS;77747;VEREADOR;DARLAN JOSÉ BARBOSA FERREIRA;DARLAN DE PATRICIA;SOLIDARIEDADE;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;PRETA
RS;MULITERNO;12444;VEREADOR;CLEOMIR PITTON;CLEOMIR GRINGO;PDT;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;BRANCA
PB;ITABAIANA;45111;VEREADOR;ALISTERRE TAVARES DE SOUZA;DR. ALISTERRE;PSDB;MASCULINO;SUPERIOR COMPLETO;PARDA
RO;NOVA MAMORÉ;44777;VEREADOR;EDSON DA SILVA FERNANDES;GORDINHO DO FRETE;UNIÃO;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;PARDA
PR;CAMPO MAGRO;11777;VEREADOR;FABIOLA REGINA FERREIRA MACHADO;FABIOLA FILHA DO SEU FLÁVIO;PP;FEMININO;SUPERIOR INCOMPLETO;PRETA
MG;CORAÇÃO DE JESUS;22135;VEREADOR;FERNANDA MARTINS FERREIRA VASCONCELOS;FERNANDA DE BOY;PL;FEMININO;ENSINO MÉDIO COMPLETO;PARDA
RS;PRESIDENTE LUCENA;15678;VEREADOR;ROQUE FERREIRA NECKEL;ROQUE NECKEL;MDB;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;BRANCA
GO;RIO VERDE;22024;VEREADOR;MAXWELL SILVA GOMES;MAXWELL GOMES;PL;MASCULINO;SUPERIOR COMPLETO;PARDA
PE;SALGUEIRO;13111;VEREADOR;JOAO CARLOS SOBRINHO;JOÃO GOTINHA;PT;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;PARDA
PA;MUANÁ;13;PREFEITO;SEBASTIÃO CONCEIÇÃO MARTINS;SABÁ DO PT;PT;MASCULINO;ENSINO MÉDIO COMPLETO;PARDA
